2026-03-21 21:21:58 | INFO | src.validate | Validation passed for required columns=['milliseconds', 'lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection', 'round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre']
2026-03-21 21:21:58 | INFO | src.main | Using year split: train < 2023, test == 2023
2026-03-21 21:21:58 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:21:58 | INFO | src.features | Preprocessor ready. Numeric columns=['lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection'] | Categorical columns=['round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre'] | n_bins placeholder=3
2026-03-21 21:21:58 | INFO | src.train | Training model pipeline for problem_type=regression
2026-03-21 21:21:58 | INFO | src.train | Initialized W&B run | project=mlops-kickoff | entity=Navenkumar Balasubramaniam | job_type=train
2026-03-21 21:22:07 | INFO | src.train | Linear Regression CV RMSE=-5982.9521
2026-03-21 21:26:05 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:26:05 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:26:05 | INFO | src.main | Started pipeline W&B run.
2026-03-21 21:26:05 | INFO | src.load_data | Loading raw data from data/raw/f1_all.parquet
2026-03-21 21:26:05 | INFO | src.load_data | Loaded raw dataframe with shape=(69230, 29)
2026-03-21 21:26:05 | INFO | src.clean_data | Starting dataframe cleaning. Input shape=(69230, 29)
2026-03-21 21:26:05 | INFO | src.clean_data | Target column 'milliseconds' converted to numeric with coercion.
2026-03-21 21:26:06 | INFO | src.clean_data | Dropped 553 rows due to missing required values in columns=['TyreLife', 'milliseconds']
2026-03-21 21:26:06 | INFO | src.clean_data | Dropped configured columns: ['Driver', 'LapNumber', 'time', 'circuitId', 'driverId', 'statusId', 'raceId', 'position_x', 'position_y', 'status', 'AirTemp']
2026-03-21 21:26:06 | INFO | src.clean_data | Filled missing values in object/string columns with 'UNKNOWN'.
2026-03-21 21:26:06 | INFO | src.clean_data | Applied IQR outlier trimming on target 'milliseconds'. Removed 2894 rows.
2026-03-21 21:26:06 | INFO | src.clean_data | Finished cleaning dataframe. Output shape=(65783, 18)
2026-03-21 21:26:06 | INFO | src.utils | Saving DataFrame to data/processed/clean.csv
2026-03-21 21:26:06 | INFO | src.validate | Validating dataframe with shape=(65783, 18)
2026-03-21 21:26:06 | INFO | src.validate | Validation passed for required columns=['milliseconds', 'lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection', 'round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre']
2026-03-21 21:26:06 | INFO | src.main | Using year split: train < 2023, test == 2023
2026-03-21 21:26:06 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:26:06 | INFO | src.features | Preprocessor ready. Numeric columns=['lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection'] | Categorical columns=['round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre'] | n_bins placeholder=3
2026-03-21 21:26:06 | INFO | src.train | Training model pipeline for problem_type=regression
2026-03-21 21:26:06 | INFO | src.train | Initialized W&B run | project=mlops-kickoff | entity=Navenkumar Balasubramaniam | job_type=train
2026-03-21 21:26:15 | INFO | src.train | Linear Regression CV RMSE=-5982.9521
2026-03-21 21:32:42 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:32:42 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:32:42 | INFO | src.main | Started pipeline W&B run.
2026-03-21 21:32:42 | INFO | src.load_data | Loading raw data from data/raw/f1_all.parquet
2026-03-21 21:32:42 | INFO | src.load_data | Loaded raw dataframe with shape=(69230, 29)
2026-03-21 21:32:42 | INFO | src.clean_data | Starting dataframe cleaning. Input shape=(69230, 29)
2026-03-21 21:32:42 | INFO | src.clean_data | Target column 'milliseconds' converted to numeric with coercion.
2026-03-21 21:32:42 | INFO | src.clean_data | Dropped 553 rows due to missing required values in columns=['TyreLife', 'milliseconds']
2026-03-21 21:32:42 | INFO | src.clean_data | Dropped configured columns: ['Driver', 'LapNumber', 'time', 'circuitId', 'driverId', 'statusId', 'raceId', 'position_x', 'position_y', 'status', 'AirTemp']
2026-03-21 21:32:42 | INFO | src.clean_data | Filled missing values in object/string columns with 'UNKNOWN'.
2026-03-21 21:32:42 | INFO | src.clean_data | Applied IQR outlier trimming on target 'milliseconds'. Removed 2894 rows.
2026-03-21 21:32:42 | INFO | src.clean_data | Finished cleaning dataframe. Output shape=(65783, 18)
2026-03-21 21:32:42 | INFO | src.utils | Saving DataFrame to data/processed/clean.csv
2026-03-21 21:32:43 | INFO | src.validate | Validating dataframe with shape=(65783, 18)
2026-03-21 21:32:43 | INFO | src.validate | Validation passed for required columns=['milliseconds', 'lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection', 'round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre']
2026-03-21 21:32:43 | INFO | src.main | Using year split: train < 2023, test == 2023
2026-03-21 21:32:43 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:32:43 | INFO | src.features | Preprocessor ready. Numeric columns=['lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection'] | Categorical columns=['round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre'] | n_bins placeholder=3
2026-03-21 21:32:43 | INFO | src.train | Training model pipeline for problem_type=regression
2026-03-21 21:32:43 | INFO | src.train | Initialized W&B run | project=mlops-kickoff | entity=Navenkumar Balasubramaniam | job_type=train
2026-03-21 21:32:51 | INFO | src.train | Linear Regression CV RMSE=-5982.9521
2026-03-21 21:40:05 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:40:05 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:40:05 | INFO | src.main | Started pipeline W&B run.
2026-03-21 21:40:05 | INFO | src.load_data | Loading raw data from data/raw/f1_all.parquet
2026-03-21 21:40:05 | INFO | src.load_data | Loaded raw dataframe with shape=(69230, 29)
2026-03-21 21:40:05 | INFO | src.clean_data | Starting dataframe cleaning. Input shape=(69230, 29)
2026-03-21 21:40:05 | INFO | src.clean_data | Target column 'milliseconds' converted to numeric with coercion.
2026-03-21 21:40:05 | INFO | src.clean_data | Dropped 553 rows due to missing required values in columns=['TyreLife', 'milliseconds']
2026-03-21 21:40:05 | INFO | src.clean_data | Dropped configured columns: ['Driver', 'LapNumber', 'time', 'circuitId', 'driverId', 'statusId', 'raceId', 'position_x', 'position_y', 'status', 'AirTemp']
2026-03-21 21:40:05 | INFO | src.clean_data | Filled missing values in object/string columns with 'UNKNOWN'.
2026-03-21 21:40:05 | INFO | src.clean_data | Applied IQR outlier trimming on target 'milliseconds'. Removed 2894 rows.
2026-03-21 21:40:05 | INFO | src.clean_data | Finished cleaning dataframe. Output shape=(65783, 18)
2026-03-21 21:40:05 | INFO | src.utils | Saving DataFrame to data/processed/clean.csv
2026-03-21 21:40:06 | INFO | src.validate | Validating dataframe with shape=(65783, 18)
2026-03-21 21:40:06 | INFO | src.validate | Validation passed for required columns=['milliseconds', 'lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection', 'round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre']
2026-03-21 21:40:06 | INFO | src.main | Using year split: train < 2023, test == 2023
2026-03-21 21:40:06 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:40:06 | INFO | src.features | Preprocessor ready. Numeric columns=['lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection'] | Categorical columns=['round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre'] | n_bins placeholder=3
2026-03-21 21:40:06 | INFO | src.utils | Saving model to models/model.joblib
2026-03-21 21:40:06 | INFO | src.evaluate | Evaluating model for problem_type=regression on 23523 rows.
2026-03-21 21:40:06 | INFO | src.evaluate | Regression metrics | RMSE=11959.1178 | MAE=9865.5784 | R2=-0.0006
2026-03-21 21:40:06 | INFO | src.main | Final score returned (single float)=11959.1178
2026-03-21 21:40:06 | INFO | src.infer | Running inference on 23523 rows.
2026-03-21 21:40:06 | INFO | src.infer | Inference complete. Produced prediction dataframe with shape=(23523, 1)
2026-03-21 21:40:06 | INFO | src.utils | Saving DataFrame to reports/predictions.csv
2026-03-21 21:40:06 | INFO | src.main | Train R2=0.0000 | Test R2=-0.0006
2026-03-21 21:40:06 | INFO | src.main | Pipeline completed successfully.
2026-03-21 21:40:27 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:40:27 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:40:27 | INFO | src.main | Started pipeline W&B run.
2026-03-21 21:40:27 | INFO | src.load_data | Loading raw data from data/raw/f1_all.parquet
2026-03-21 21:40:27 | INFO | src.load_data | Loaded raw dataframe with shape=(69230, 29)
2026-03-21 21:40:27 | INFO | src.clean_data | Starting dataframe cleaning. Input shape=(69230, 29)
2026-03-21 21:40:27 | INFO | src.clean_data | Target column 'milliseconds' converted to numeric with coercion.
2026-03-21 21:40:27 | INFO | src.clean_data | Dropped 553 rows due to missing required values in columns=['TyreLife', 'milliseconds']
2026-03-21 21:40:27 | INFO | src.clean_data | Dropped configured columns: ['Driver', 'LapNumber', 'time', 'circuitId', 'driverId', 'statusId', 'raceId', 'position_x', 'position_y', 'status', 'AirTemp']
2026-03-21 21:40:27 | INFO | src.clean_data | Filled missing values in object/string columns with 'UNKNOWN'.
2026-03-21 21:40:27 | INFO | src.clean_data | Applied IQR outlier trimming on target 'milliseconds'. Removed 2894 rows.
2026-03-21 21:40:27 | INFO | src.clean_data | Finished cleaning dataframe. Output shape=(65783, 18)
2026-03-21 21:40:27 | INFO | src.utils | Saving DataFrame to data/processed/clean.csv
2026-03-21 21:40:27 | INFO | src.validate | Validating dataframe with shape=(65783, 18)
2026-03-21 21:40:27 | INFO | src.validate | Validation passed for required columns=['milliseconds', 'lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection', 'round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre']
2026-03-21 21:40:27 | INFO | src.main | Using year split: train < 2023, test == 2023
2026-03-21 21:40:28 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:40:28 | INFO | src.features | Preprocessor ready. Numeric columns=['lap', 'grid', 'Stint', 'TyreLife', 'TrackTemp', 'Humidity', 'Pressure', 'Rainfall', 'WindSpeed', 'WindDirection'] | Categorical columns=['round', 'name', 'constructorId', 'code', 'Compound', 'FreshTyre'] | n_bins placeholder=3
2026-03-21 21:40:28 | INFO | src.utils | Saving model to models/model.joblib
2026-03-21 21:40:28 | INFO | src.evaluate | Evaluating model for problem_type=regression on 23523 rows.
2026-03-21 21:40:28 | INFO | src.evaluate | Regression metrics | RMSE=11959.1178 | MAE=9865.5784 | R2=-0.0006
2026-03-21 21:40:28 | INFO | src.main | Final score returned (single float)=11959.1178
2026-03-21 21:40:28 | INFO | src.infer | Running inference on 23523 rows.
2026-03-21 21:40:28 | INFO | src.infer | Inference complete. Produced prediction dataframe with shape=(23523, 1)
2026-03-21 21:40:28 | INFO | src.utils | Saving DataFrame to reports/predictions.csv
2026-03-21 21:40:28 | INFO | src.main | Train R2=0.0000 | Test R2=-0.0006
2026-03-21 21:40:28 | INFO | src.main | Pipeline completed successfully.
2026-03-21 21:40:28 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:40:28 | INFO | src.features | Preprocessor ready. Numeric columns=['num_feature'] | Categorical columns=['cat_feature'] | n_bins placeholder=3
2026-03-21 21:40:28 | INFO | src.train | Training model pipeline for problem_type=classification
2026-03-21 21:40:28 | INFO | src.train | Initialized W&B run | project=mlops-kickoff | entity=Navenkumar Balasubramaniam | job_type=train
2026-03-21 21:40:28 | INFO | src.train | Classification pipeline trained with LogisticRegression.
2026-03-21 21:40:28 | INFO | src.features | Building feature preprocessor.
2026-03-21 21:40:28 | INFO | src.features | Preprocessor ready. Numeric columns=['num_feature'] | Categorical columns=['cat_feature'] | n_bins placeholder=3
2026-03-21 21:40:28 | INFO | src.train | Training model pipeline for problem_type=regression
2026-03-21 21:40:28 | INFO | src.train | Initialized W&B run | project=mlops-kickoff | entity=Navenkumar Balasubramaniam | job_type=train
2026-03-21 21:40:29 | INFO | src.train | Linear Regression CV RMSE=-0.0709
2026-03-21 21:40:36 | INFO | src.train | Random Forest best CV RMSE=0.3133 with params={'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}
2026-03-21 21:40:36 | INFO | src.train | Selected final regression model=linear_regression with CV RMSE=-0.0709
2026-03-21 21:40:36 | INFO | src.utils | Saving DataFrame to /tmp/pytest-of-naven/pytest-0/test_save_csv_creates_parent_d0/nested/dir/data.csv
2026-03-21 21:40:36 | INFO | src.utils | Loading CSV from /tmp/pytest-of-naven/pytest-0/test_load_csv_reads_expected_d0/input.csv
2026-03-21 21:40:36 | INFO | src.utils | Saving model to /tmp/pytest-of-naven/pytest-0/test_save_model_and_load_model0/models/nested/model.joblib
2026-03-21 21:40:36 | INFO | src.utils | Loading model from /tmp/pytest-of-naven/pytest-0/test_save_model_and_load_model0/models/nested/model.joblib
2026-03-21 21:40:36 | INFO | src.utils | Loading model from /tmp/pytest-of-naven/pytest-0/test_load_model_raises_if_miss0/does_not_exist.joblib
2026-03-21 21:40:36 | INFO | src.validate | Validating dataframe with shape=(2, 2)
2026-03-21 21:40:36 | INFO | src.validate | Validation passed for required columns=['a', 'b']
2026-03-21 21:40:36 | INFO | src.validate | Validating dataframe with shape=(2, 1)
2026-03-21 21:40:36 | ERROR | src.validate | Validation failed: missing required columns=['b']
2026-03-21 21:40:36 | INFO | src.validate | Validating dataframe with shape=(0, 0)
2026-03-21 21:40:36 | ERROR | src.validate | Validation failed: dataframe is empty. Cannot proceed.
2026-03-21 21:40:36 | INFO | src.validate | Validating dataframe with shape=(2, 2)
2026-03-21 21:40:36 | ERROR | src.validate | Validation failed: required columns entirely null=['a']
2026-03-21 21:41:22 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:41:22 | INFO | __main__ | Starting end-to-end pipeline.
2026-03-21 21:43:03 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:43:03 | INFO | __main__ | Starting end-to-end pipeline.
2026-03-21 21:58:47 | INFO | src.logging | Logging configured. Writing logs to logs/pipeline.log
2026-03-21 21:58:47 | INFO | src.main | Starting end-to-end pipeline.
2026-03-21 21:58:47 | INFO | src.main | Started pipeline W&B run.
